label,text
ham,Chao ban, hom nay ban co di hoc khong?
spam,CHUC MUNG! Ban da trung thuong 10 trieu dong. Goi ngay 1900xxx de nhan thuong.
ham,Minh dang o quan cafe, lat nua qua nhe.
spam,QC: Dich vu lam dep uu dai 50% chi trong hom nay. Bam vao link de xem.
ham,Toi nay di an lau nhe, moi nguoi deu di ca.
spam,Canh bao! Tai khoan cua ban bi khoa. Dang nhap tai day de mo lai.
ham,Ngay mai co lich hop luc 9 gio sang nhe ca nha.
spam,Xo so mien Bac: Ket qua ngay hom nay cuc ky may man. Xem ngay!
ham,Nho mang cho minh quyen sach Toan nhe.
spam,Ban nhan duoc goi qua mien phi. So luong co han! Bam vao de lay.
ham,Hen gap ban vao cuoi tuan nay nhe.
spam,Vay tien mat nhanh chong, khong can the chap. Lien he ngay.
ham,Check email minh vua gui nhe, co tai lieu quan trong.
spam,Ban da may man trung mot chiec iPhone 15 Pro Max. Click vao day!
ham,Chuc mung sinh nhat nhe! Chuc ban moi dieu tot lanh.
spam,Dich vu thong tac be phot gia re nhat thi truong. Goi 09xxx.